Date,GPR,Inflation_Pct,SP500_Return,Oil_Return,Oil_Price,GPR_12m_Avg,SP500_Index,Roll_Corr_GPR_CPI,Roll_Corr_GPR_SP500,Roll_Corr_GPR_Oil,GPR_Tier,Crisis_Label
1990-11-01,158.74354553222656,6.195393169181873,5.993421454178649,-10.286729231488023,32.33227272727272,117.86032994588216,152.14845739823596,0.563178046437244,-0.35894150731387947,0.6712887938649594,High,
1990-12-01,153.1624298095703,6.254948535233562,2.482775733875209,-15.623005440665805,27.281,121.24440511067708,155.92596237798483,0.6052250120672765,-0.35643690492948377,0.5800127137465042,High,
1991-01-01,379.2497863769531,5.647058823529405,4.15177499981747,-7.503057405920199,25.23409090909091,146.0532169342041,162.39965750221882,0.5271152154037626,-0.10940496687371722,0.2502370753686728,Very High,
1991-02-01,339.3580322265625,5.312500000000009,6.728117681278034,-18.849860398090613,20.4775,167.8824520111084,173.32609757296055,0.5014568212186173,0.046360046666526294,0.04140637089188273,Very High,
1991-03-01,148.61831665039062,4.821150855365497,2.2202832522042026,-2.812843364668538,19.9015,174.63464991251627,177.17442788907212,0.5120495148999599,0.04812764255567946,0.03593800099375447,High,
1991-04-01,97.760009765625,4.809930178432875,0.03197993624997064,4.665477476572111,20.83,175.977663675944,177.2310881581623,0.5275508739115655,0.05005149013594703,0.032924099163006496,Normal,
1991-05-01,88.56902313232422,5.034856700232382,3.8604972493607503,1.9312180858028327,21.23227272727273,176.1578222910563,184.07308944152027,0.5337132246624101,0.041544636405777415,0.030776377955855125,Normal,
1991-06-01,87.73383331298828,4.695919938414161,-4.789262897479862,-4.913617777397194,20.189,176.8288828531901,175.25734526465263,0.5336229903013195,0.06781281785115098,0.028873263831066014,Normal,
1991-07-01,115.18467712402344,4.367816091954024,4.485934295776639,6.01339084779271,21.40304347826087,179.27865346272787,183.11927462174737,0.5246026663802497,0.062261960691430855,0.02028399428351921,High,
1991-08-01,113.49502563476562,3.7993920972644313,1.9648784624321625,1.3577175866163582,21.69363636363636,167.8656489054362,186.71734580935205,0.4985853670050573,0.04719631927053721,0.018826667201499586,High,
1991-09-01,117.94219207763672,3.396226415094339,-1.9143735843086374,0.8890332313623794,21.8865,161.97245343526205,183.14287826385564,0.45095222988071865,0.059428785676360306,0.006886199131204956,High,
1991-10-01,100.8318099975586,2.8485757121439192,1.1834236654519215,6.142460261884675,23.23086956521739,158.38739013671875,185.31023442681987,0.41010194748868367,0.06657639167542603,-0.007406209688052918,High,
1991-11-01,100.7423324584961,3.0665669409125185,-4.390370862630699,-3.3141987307172216,22.46095238095238,153.55395571390787,177.17442788907215,0.3864820351491364,0.06156816938455718,-0.0024890659513004455,High,
1991-12-01,103.96953582763672,2.980625931445613,11.15878550742815,-13.191146540027132,19.49809523809524,149.45454788208008,196.94494227122667,0.3701966017371899,0.04302664556036557,0.02167027757700011,High,
1992-01-01,102.95763397216797,2.672605790645899,-1.9923751783923582,-3.6549246679662417,18.785454545454545,126.43020184834798,193.02106012631558,0.35522157032695306,0.06678023787789521,0.03522960171253253,High,
1992-02-01,87.2034683227539,2.8189910979228294,0.958954312696414,1.2086236933797956,19.0125,105.4173215230306,194.8720439068092,0.3612468478999483,0.05685512740791481,0.03332965352811885,Normal,
1992-03-01,85.29731750488281,3.189910979228472,-2.183186212532784,-0.476958938497396,18.921818181818182,100.14057159423828,190.61762431215493,0.374455093476171,0.07038118733739562,0.044593528115747245,Normal,
1992-04-01,85.85562133789062,3.1828275351591495,2.7892713957560433,6.913615835495346,20.23,99.14853922526042,195.9344671823636,0.39108399449231346,0.0793023007174721,0.04688779797672669,Normal,
1992-05-01,78.96814727783203,3.0235988200590036,0.09639568254424802,3.6851211072664425,20.9755,98.34846623738606,196.12333954934346,0.40945567583509757,0.08654877214200876,0.038978030304851786,Normal,
1992-06-01,93.84909057617188,3.0147058823529305,-1.7358833150663777,6.717577433412569,22.384545454545453,98.85807100931804,192.71886722115542,0.42330933424482475,0.08805883716492373,0.0319034426147051,Normal,
1992-07-01,75.19676971435547,3.1571218795888534,3.9373686063305824,-2.722092635199669,21.77521739130435,95.5257453918457,200.30691939759708,0.44555408514341915,0.10574713228492795,0.03479632702009974,Normal,
1992-08-01,81.64519500732422,3.0746705710102518,-2.399753160189122,-2.0030558796207854,21.33904761904762,92.87159283955891,195.50004776927577,0.45434982629331594,0.11670184927673213,0.03611684691478016,Normal,
1992-09-01,74.6097183227539,2.9927007299270114,0.9105593857418715,2.5414255921709206,21.881363636363634,89.26055335998535,197.28019180336875,0.46645228223055574,0.11106891995205505,0.038989880747690685,Normal,
1992-10-01,68.18277740478516,3.279883381924198,0.2106282691536565,-0.8932466399385164,21.68590909090909,86.5398006439209,197.6957196567472,0.4843317634499644,0.09878132248303093,0.045251847160302464,Normal,
1992-11-01,91.00899505615234,3.1204644412191396,3.026180770368403,-6.213293089354199,20.3385,85.72868919372559,203.6783495088411,0.4925991264115907,0.09448616916566599,0.05016752820165665,Normal,
1992-12-01,83.42096710205078,2.966714905933454,1.0107766987062838,-4.545119310219981,19.41409090909091,84.01630846659343,205.737082805986,0.49966686865805515,0.09405555461068987,0.05760355074983811,Normal,
1993-01-01,128.91807556152344,3.2537960954446943,0.7045987892006611,-1.9681112593945338,19.032,86.17967859903972,207.18670380037372,0.5114899933259551,0.06996240653843543,0.06842623653037988,High,
1993-02-01,90.46806335449219,3.2467532467532534,1.0483627595407663,5.538625005838127,20.086111111111112,86.4517281850179,209.35877204573688,0.5404857764076243,0.06953235576902657,0.05755522732990445,Normal,
1993-03-01,94.24144744873047,3.0194104960460155,1.8697299051888772,1.175253888751926,20.32217391304348,87.1970723470052,213.27321561581223,0.5755128897822335,0.07580058209417603,0.04179818428928511,Normal,
1993-04-01,112.72166442871094,3.1563845050215145,-2.541681016015662,-0.34284675124622854,20.2525,89.43590927124023,207.85249078225897,0.5880499834544234,0.06461004386974062,0.02771818300300064,High,
1993-05-01,110.72975158691406,3.2211882605583497,2.271746278774489,-1.4961115911615863,19.9495,92.0827096303304,212.57437200694503,0.5948110251466346,0.1005450898191018,0.02608897311914917,High,
1993-06-01,104.19525146484375,2.9978586723768963,0.07552285391652092,-4.287872332184229,19.09409090909091,92.9448897043864,212.73491423937978,0.6118326793026873,0.09490605840826499,0.015212810713452825,High,
1993-07-01,123.31478881835938,2.8469750889679624,-0.532704570835929,-6.306091841835881,17.89,96.95472462972005,211.60166562746272,0.6246331807212798,0.09013130857212366,0.029516235871720708,High,
1993-08-01,97.2416763305664,2.840909090909083,3.4431956145887233,0.6758473499669737,18.01090909090909,98.2544314066569,218.8875248987442,0.5935779531155656,0.2741760864725897,-0.32451384224837104,Normal,
1993-09-01,89.16477966308594,2.7639971651311157,-0.9987930164805148,-2.8128695451530072,17.504285714285714,99.4673531850179,216.70129158610848,0.5780760863340083,0.3619489056473821,-0.5106464325523402,Normal,
1993-10-01,106.16590881347656,2.752293577981657,1.9392922751884534,3.7079354715851887,18.153333333333332,102.63261413574219,220.9037629940715,0.6003728573589644,0.37064772061506956,-0.5454390818641384,High,
1993-11-01,83.48017883300781,2.7445460942997935,-1.291062608362914,-8.506898903520277,16.60904761904762,102.00521278381348,218.0517571095884,0.6178704508252906,0.361643914020118,-0.5088367291952163,Normal,
1993-12-01,79.55179595947266,2.8109627547435068,1.0091174724184304,-12.60930645947418,14.514761904761905,101.6827818552653,220.25215548949663,0.6598996755723733,0.3549592958981431,-0.45365271716824784,Normal,
1994-01-01,83.48997497558594,2.450980392156854,3.2500745519977725,3.5267871788983385,15.026666666666667,97.89710680643718,227.41051474528734,0.5288471406288614,0.3220617582975702,-0.48671314199072446,Normal,
1994-02-01,117.2420654296875,2.515723270440251,-3.004499728667853,-1.6345210853219827,14.78105263157895,100.12827364603679,220.577966446803,0.24861526654318,0.02080206956594405,-0.02766293572957851,High,
1994-03-01,93.47403717041016,2.6517794836008246,-4.574651060635082,-0.6777803236254099,14.680869565217392,100.06432278951009,210.48729416521704,0.05614524431842347,-0.01891784355065916,0.0094984941414325,Normal,
1994-04-01,95.35697174072266,2.364394993045882,1.1530643100964522,11.846235858555932,16.419999999999998,98.61726506551106,212.91434803152387,0.05110345428481564,-0.018441778611216684,0.0031829737272686272,Normal,
1994-05-01,104.46678924560547,2.288488210818307,1.2397144202814125,8.946696827330225,17.88904761904762,98.09535153706868,215.5538779069188,0.09162344501068104,0.0008866638753407823,0.036901736500258984,High,
1994-06-01,120.35224151611328,2.494802494802495,-2.679082362832008,6.545638459286063,19.06,99.44176737467448,209.77901198151412,0.12102893614475924,-0.07720667527078469,0.07455910138830496,High,
1994-07-01,99.6402359008789,2.69896193771626,3.1489907258900107,3.119097586568742,19.654500000000002,97.46888796488444,216.3849336136757,-0.007812246732717487,-0.1229704453548113,0.04170583741054952,Normal,
1994-08-01,98.2270278930664,2.900552486187835,3.7598699649926237,-6.466823064084237,18.383478260869566,97.55100059509277,224.52072574138552,-0.1151955054919718,-0.13589937163753343,0.028713179639457718,Normal,
1994-09-01,98.89848327636719,2.965517241379323,-2.6877534841474704,-5.101123747356196,17.445714285714285,98.36214256286621,218.48616211263825,-0.2062171832625909,-0.10914622794387721,0.014537278501348363,Normal,
1994-10-01,94.85363006591797,2.609890109890123,2.0833815622011143,1.5503875968992276,17.716190476190476,97.41945266723633,223.0380625300538,-0.1997256892750404,-0.11204944456990479,0.001665306407159604,Normal,
1994-11-01,86.5298080444336,2.602739726027403,-3.950461187888721,1.9942748091603013,18.069499999999998,97.67358843485515,214.22703043558502,-0.1857896676924219,-0.06721442747222174,-0.0008917659460321118,Normal,
